Ticker,Sector,Industry,RS (%),1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,RS Rank (P),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
SOFI,Financial Services,Credit Services,4.27,-2.24,-15.19,-29.39,-16.81,2.74,77.91,9.01,7.73,7.27,1.24,532.95,-0.22,6.8,2.37,
ALLE,Industrials,Security & Protection Services,4.26,4.33,2.79,-15.59,0.77,1.53,77.89,147.3,138.88,129.33,1.51,41.41,6.29,8.8,41.926,23.42
ENVX,Industrials,Electrical Equipment & Parts,4.22,-2.26,-33.14,16.63,-47.86,-11.17,77.87,12.79,10.08,10.7,1.31,-57.12,-1.45,-6.58,0.1,
CWK,Real Estate,Real Estate Services,4.19,6.56,13.55,-5.61,3.32,-6.92,77.85,12.53,12.98,11.56,1.19,199.62,0.08,1.96,40.874,156.62
NATH,Consumer Cyclical,Restaurants,4.19,0.57,0.91,-15.27,-17.93,-7.04,77.85,84.06,78.06,71.9,1.61,90.46,5.26,30.34,34.636,15.98
VZIO,Technology,Consumer Electronics,4.16,6.83,16.8,14.35,29.1,-7.95,77.82,11.2,11.19,10.91,1.4,-1884.06,0.07,5.39,8.695,160.0
CMA,Financial Services,Banks—Regional,4.15,1.36,1.1,-12.39,-0.98,4.94,77.8,61.28,57.65,53.64,1.05,65.11,4.51,4.0,24.498,13.59
MATX,Industrials,Marine Shipping,4.14,5.83,4.22,6.55,6.23,31.87,77.77,137.05,134.39,124.56,0.75,71.97,9.46,10.09,92.479,14.49
PNFP,Financial Services,Banks—Regional,4.14,2.86,6.59,-12.96,3.63,19.19,77.77,98.69,95.6,86.82,1.06,-63.97,5.05,-3.98,19.564,19.54
GWW,Industrials,Industrial Distribution,4.13,0.45,-1.19,-6.37,13.17,5.46,77.73,1085.04,1004.1,965.92,1.7,37.24,36.46,6.66,339.453,29.76
BMRC,Financial Services,Banks—Regional,4.13,-2.88,5.13,-24.22,-28.32,-7.14,77.73,21.81,20.3,17.76,0.88,-538.65,-0.82,-284.21,3.649,
NTNX,Technology,Software—Infrastructure,4.12,-0.35,6.35,8.26,46.01,32.02,77.7,64.61,58.34,58.78,1.01,-267.05,-0.51,5.7,8.78,
CDRE,Industrials,Aerospace & Defense,4.11,2.26,-5.11,-2.94,15.05,16.75,77.68,40.22,36.55,34.83,1.43,52.18,1.03,12.23,13.839,39.05
FCBC,Financial Services,Banks—Regional,4.07,1.28,8.33,-7.9,-9.16,8.1,77.66,43.08,42.47,38.04,1.24,31.14,2.81,1.86,8.864,15.33
AROC,Energy,Oil & Gas Equipment & Services,4.04,7.72,2.4,9.97,38.14,21.89,77.64,21.38,20.19,20.15,0.77,31.82,0.89,6.56,6.823,24.02
ZION,Financial Services,Banks—Regional,4.02,0.88,1.15,-5.79,4.7,11.41,77.61,49.97,47.58,44.94,0.86,56.33,4.15,5.79,20.043,12.04
GCMG,Financial Services,Asset Management,4.02,6.99,7.59,-3.51,0.73,-2.33,77.61,11.22,11.01,10.22,0.86,44.35,0.414,3.89,10.526,27.1
AAT,Real Estate,REIT - Diversified,4.01,4.74,9.93,-11.2,-11.2,-0.34,77.58,26.62,26.37,23.56,0.77,21.7,0.89,3.03,7.317,29.91
GPI,Consumer Cyclical,Auto & Truck Dealerships,3.98,9.17,13.84,-10.39,-7.27,5.06,77.57,355.63,365.86,321.4,0.67,33.84,40.51,6.06,1368.451,8.78
KLAC,Technology,Semiconductor Equipment & Materials,3.96,3.36,-0.19,23.35,15.0,9.43,77.55,803.73,779.03,759.75,0.83,28.41,20.25,8.41,72.498,39.69
CCOI,Communication Services,Telecom Services,3.93,-0.7,0.62,-27.02,-18.11,3.56,77.53,80.45,73.93,65.37,1.04,-347.46,0.77,0.59,21.038,104.48
RAVE,Consumer Cyclical,Restaurants,3.85,9.13,-21.85,-22.91,-4.7,-1.73,77.51,2.4,1.95,1.95,1.33,39.62,0.17,-14.36,0.841,14.12
NDAQ,Financial Services,Financial Data & Stock Exchanges,3.83,5.87,13.36,-6.29,0.29,-5.54,77.48,71.62,71.59,64.92,1.33,20.13,1.72,13.01,11.99,41.64
ASTL,Basic Materials,Steel,3.83,5.11,16.52,-23.38,-6.75,16.95,77.48,9.98,9.97,8.55,0.8,462.12,-0.16,3.04,24.161,
USCB,Financial Services,Banks—Regional,3.8,5.28,9.47,-10.09,-12.22,2.43,77.45,14.65,14.77,13.1,0.98,65.6,0.88,20.92,3.407,16.65
BBUC,Financial Services,Asset Management,3.77,6.15,-9.85,-15.64,-3.31,3.54,77.42,25.19,23.01,21.88,0.82,-306.09,-45.6,40.48,105.6,
CEVA,Technology,Semiconductors,3.77,3.8,1.17,-23.68,-13.76,-23.2,77.42,25.26,23.84,21.39,0.62,657.95,-0.71,18.89,4.19,
ITGR,Healthcare,Medical Devices,3.76,5.26,13.52,1.96,11.32,8.56,77.39,129.24,126.4,120.14,0.75,51.05,3.06,8.25,49.895,42.24
PBHC,Financial Services,Banks—Regional,3.74,5.23,10.28,-16.25,-20.98,-18.85,77.37,16.0,15.94,13.99,0.67,22.02,1.42,1.98,6.824,11.27
MOFG,Financial Services,Banks—Regional,3.72,1.64,10.8,-17.71,-14.94,0.71,77.35,28.3,28.14,24.37,1.39,137.03,1.97,30.09,11.069,14.37
GDOT,Financial Services,Credit Services,3.71,1.09,-1.64,-26.96,-45.17,-47.97,77.33,11.34,11.15,9.9,0.89,-78.81,-1.02,6.88,29.79,
CNDT,Technology,Information Technology Services,3.69,3.88,-1.89,-15.52,-14.43,-8.73,77.31,4.05,3.7,3.54,0.72,1766.29,0.18,-6.03,17.458,22.5
HCI,Financial Services,Insurance—Property & Casualty,3.68,8.97,1.45,-10.71,40.08,37.15,77.3,111.65,101.73,100.94,3.09,64.26,12.85,20.45,77.114,8.69
EH,Industrials,Aerospace & Defense,3.67,3.13,-29.25,-22.6,12.01,-3.92,77.28,17.61,13.94,15.43,3.45,32.44,-0.61,67.6,3.923,
CG,Financial Services,Asset Management,3.66,2.17,-13.29,-8.05,19.23,11.92,77.26,48.27,42.08,43.07,1.22,92.95,-1.11,89.3,7.709,
ZWS,Industrials,Pollution & Treatment Controls,3.63,4.43,-9.59,-15.95,1.1,0.45,77.24,36.52,33.21,32.0,0.75,49.08,0.73,10.64,8.908,50.03
AX,Financial Services,Banks—Regional,3.62,1.1,12.54,1.92,0.55,14.25,77.21,64.13,64.93,59.94,1.15,30.76,7.66,10.67,18.418,8.37
SLM,Financial Services,Credit Services,3.62,2.98,-1.66,-1.16,12.79,13.17,77.21,23.27,21.74,21.46,1.0,71.6,3.24,10.38,7.584,7.18
DCO,Industrials,Aerospace & Defense,3.6,5.82,6.34,-1.54,-10.84,-3.48,77.17,64.73,64.22,59.13,0.91,66.29,1.53,5.2,52.865,42.31
UL,Consumer Defensive,Household & Personal Products,3.6,4.79,15.58,-5.07,-16.0,-11.91,77.17,62.79,63.56,57.22,0.58,,2.88,,24.08,21.8
SCVL,Consumer Cyclical,Apparel Retail,3.59,12.04,17.77,7.92,18.79,2.03,77.13,39.13,41.88,38.24,1.13,49.85,2.82,11.61,45.392,13.88
ADC,Real Estate,REIT - Retail,3.59,5.29,13.8,-9.73,-20.12,-10.5,77.13,73.49,73.78,65.21,0.8,50.08,1.79,8.32,5.855,41.06
TBNK,Financial Services,Banks—Regional,3.58,12.71,-1.97,-27.31,-36.04,-28.09,77.1,10.6,9.99,8.79,1.41,-3467.03,-0.01,-5.58,4.544,
KIND,Communication Services,Internet Content & Information,3.54,4.33,0.19,6.65,-15.83,-29.46,77.07,2.51,2.47,2.42,0.62,12.41,-0.39,14.69,0.589,
UE,Real Estate,REIT—Retail,3.54,3.93,8.26,-7.37,-10.03,5.1,77.07,21.24,20.81,18.78,1.16,-104.55,2.47,4.06,3.598,8.6
PSA,Real Estate,REIT—Industrial,3.53,5.32,12.22,-9.91,-12.01,-3.68,77.04,342.83,343.25,303.12,0.87,32.67,10.66,4.96,26.54,32.16
SO,Utilities,Utilities—Regulated Electric,3.51,6.24,10.71,-5.06,-12.54,-5.55,77.03,88.96,88.36,80.78,0.96,28.52,4.19,1.78,23.899,21.23
ADSK,Technology,Software - Application,3.5,0.75,-1.24,-5.79,-2.82,0.64,77.01,281.67,260.87,242.21,0.95,42.12,4.87,8.78,27.063,57.84
WPM,Basic Materials,Gold,3.49,4.08,7.39,2.3,-2.79,-3.44,76.97,60.71,60.54,56.17,1.19,21.98,1.26,9.33,2.499,48.18
SRL,Financial Services,Capital Markets,3.49,5.8,11.75,-1.17,-16.07,1.55,76.97,7.92,7.95,7.09,1.27,,0.07,,3.707,113.14
OMIC,Healthcare,Medical Instruments & Supplies,3.49,-1.27,-54.33,-50.86,-30.62,-60.17,76.97,14.27,10.55,10.84,0.19,43.28,-37.28,12.0,1.107,
HBNC,Financial Services,Banks—Regional,3.47,2.03,14.24,-13.75,-8.16,9.74,76.93,15.23,15.3,13.54,1.07,230.63,0.43,24.98,4.122,35.42
MCO,Financial Services,Financial Data & Stock Exchanges,3.46,1.6,12.5,1.12,-1.73,3.57,76.91,475.11,475.5,431.43,1.26,52.13,10.12,12.11,35.869,46.95
SPGI,Financial Services,Financial Data & Stock Exchanges,3.45,2.76,9.41,-5.4,-5.24,3.65,76.87,522.01,509.39,463.87,0.93,55.19,10.54,10.63,42.159,49.53
HBAN,Financial Services,Banks—Regional,3.45,-0.37,4.24,-8.93,3.54,1.56,76.87,15.39,14.53,13.92,1.26,46.16,1.06,3.7,4.632,14.52
NOK,Technology,Communication Equipment,3.45,4.19,6.67,-7.88,-19.13,-22.62,76.87,4.36,4.23,3.89,0.72,-238.48,0.19,-7.26,3.649,22.95
STT,Financial Services,Asset Management,3.42,1.71,2.95,-12.15,-7.67,-3.63,76.83,89.83,85.09,79.24,1.28,94.73,5.42,9.51,39.316,16.57
GM,Consumer Cyclical,Auto Manufacturers,3.41,0.11,10.61,7.2,10.26,-5.29,76.81,47.87,46.95,45.8,1.12,38.5,8.9,11.43,143.45,5.38
FCF,Financial Services,Banks—Regional,3.4,1.42,8.63,-12.47,-12.79,0.78,76.79,16.99,16.72,15.0,1.15,25.38,1.55,4.0,4.534,10.96
ELUT,Healthcare,Medical Devices,3.39,8.12,35.94,55.06,14.98,31.85,76.77,3.7,3.87,3.61,0.42,-25.09,-3.09,4.4,1.122,
HD,Consumer Cyclical,Home Improvement Retail,3.38,3.73,-2.88,-13.89,-3.41,1.55,76.75,411.9,380.45,359.65,1.1,56.63,14.87,17.25,153.47,27.7
IFF,Basic Materials,Specialty Chemicals,3.38,2.61,13.19,3.39,-6.66,-11.29,76.75,102.66,101.59,95.49,0.89,476.61,-9.22,5.86,44.357,
BAP,Financial Services,Banks—Regional,3.37,3.21,2.39,-6.15,4.95,-2.33,76.72,186.73,176.24,169.61,1.21,41.78,16.32,9.86,210.365,11.44
OLPX,Consumer Cyclical,Specialty Retail,3.36,6.92,3.24,-43.17,-45.84,-43.75,76.68,2.29,2.22,1.85,0.7,-42.05,0.07,-1.68,0.665,32.71
MSGE,Consumer Cyclical,Leisure,3.36,3.32,4.78,-13.0,3.99,-12.59,76.68,42.31,41.06,38.35,1.1,116.77,2.97,-25.12,19.871,14.25
HPQ,Technology,Computer Hardware,3.36,1.71,1.66,-0.6,-14.03,-6.74,76.68,37.01,35.16,33.52,0.85,22.18,2.85,5.11,53.955,12.99
CCBG,Financial Services,Banks—Regional,3.32,1.19,6.94,-19.88,-20.01,-15.15,76.63,34.66,34.06,30.23,0.67,42.22,3.0,6.38,13.043,11.55
CEPU,Utilities,Utilities—Regulated Electric,3.32,0.14,1.04,-4.79,25.16,24.25,76.63,10.41,9.62,9.5,1.11,-556.14,1.13,27.21,2360.68,9.21
BOF,Consumer Defensive,Packaged Foods,3.3,-13.54,64.27,-64.01,-37.51,-39.77,76.59,1.8,1.63,1.49,0.04,32.95,-0.69,6.39,0.868,
CECO,Industrials,Pollution & Treatment Controls,3.3,6.47,3.62,26.66,26.64,20.4,76.59,27.26,27.81,26.23,0.89,85.89,0.37,0.63,16.273,73.68
FBIN,Industrials,Building Products & Equipment,3.28,3.27,-1.71,-24.26,1.95,5.03,76.56,87.98,82.15,76.08,0.88,53.05,3.52,7.63,37.933,24.99
OLP,Real Estate,REIT—Diversified,3.27,4.88,10.5,-4.82,-4.28,-5.28,76.54,26.9,26.73,24.66,0.95,49.42,1.51,1.02,4.321,17.81
BIPC,Utilities,Utilities—Regulated Gas,3.24,6.14,5.46,-17.27,-23.38,-21.69,76.52,41.3,40.8,36.57,0.76,36.12,9.97,14.94,22.906,4.14
MMSI,Healthcare,Medical Instruments & Supplies,3.23,5.96,14.53,-0.96,-16.06,-6.51,76.5,94.35,95.13,85.3,0.89,53.75,2.01,7.6,22.476,46.94
PFSI,Financial Services,Mortgage Finance,3.21,5.07,13.75,-2.13,4.13,12.75,76.49,106.27,106.56,97.25,1.18,134.52,3.65,0.69,38.056,29.12
CULP,Consumer Cyclical,Textile Manufacturing,3.19,3.98,-3.79,-23.75,-25.47,-5.1,76.46,5.94,5.45,4.89,0.38,-45.51,-1.42,0.96,18.065,
HPE,Technology,Communication Equipment,3.19,3.94,-7.22,3.66,-3.52,-2.51,76.46,20.67,18.95,18.85,0.83,42.04,1.41,9.97,22.238,14.66
IR,Industrials,Specialty Industrial Machinery,3.18,5.01,-3.17,0.83,17.54,8.64,76.42,100.76,93.82,93.05,1.06,22.08,2.02,6.33,17.409,49.88
VSCO,Consumer Cyclical,Apparel Retail,3.18,-2.37,3.72,-29.05,-27.48,-11.44,76.42,26.05,24.02,20.54,0.92,27.17,1.75,-4.35,78.526,14.89
FBIZ,Financial Services,Banks—Regional,3.12,2.36,10.65,-11.03,-5.01,8.94,76.38,43.69,43.69,38.73,1.4,40.14,4.57,6.38,17.137,9.56
BGC,Financial Services,Capital Markets,3.12,10.12,16.38,11.37,22.7,19.7,76.38,9.28,9.52,8.81,1.18,60.95,0.24,6.69,4.342,38.67
CINF,Financial Services,Insurance—Property & Casualty,3.11,6.03,10.0,-8.68,0.51,-7.1,76.34,136.39,134.57,124.14,1.21,-39.41,13.63,-0.92,67.917,10.01
GABC,Financial Services,Banks—Regional,3.11,2.0,8.88,-5.09,-2.59,-4.82,76.34,39.45,38.98,35.76,1.01,31.87,2.79,-94.78,8.338,14.14
CRBG,Financial Services,Asset Management,3.09,3.18,-1.08,6.77,23.31,12.68,76.29,30.33,28.41,28.61,1.14,-185.8,3.24,-22.75,29.378,9.36
EXAS,Healthcare,Diagnostics & Research,3.09,-0.05,-10.4,-42.19,-16.43,-8.88,76.29,70.96,63.72,56.78,0.73,-27.75,-0.95,10.78,14.343,
OFG,Financial Services,Banks—Regional,3.09,1.82,11.22,-7.39,-0.19,10.76,76.29,44.15,44.0,39.87,0.95,39.55,4.07,4.66,13.647,10.85
JBLU,Industrials,Airlines,3.08,13.46,-12.23,-12.82,-3.94,-22.64,76.25,6.72,5.81,6.01,0.8,1136.52,-2.79,7.99,27.458,
MGEE,Utilities,Utilities—Regulated Electric,3.07,4.58,5.32,-12.82,-7.71,-12.01,76.23,90.52,88.7,82.3,1.05,-4.55,3.19,-9.92,17.854,28.38
MASI,Healthcare,Medical Devices,3.05,3.41,-11.38,-14.84,-2.81,-26.38,76.22,140.62,124.62,126.02,1.49,7.95,1.48,2.1,38.055,95.01
HONE,Financial Services,Banks—Regional,3.04,-1.76,4.02,-11.9,-16.03,1.28,76.19,13.15,12.7,11.45,1.44,122.43,0.38,3.96,3.922,34.61
SPG,Real Estate,REIT—Retail,3.04,3.78,8.19,-5.3,6.05,9.93,76.19,170.78,165.24,154.27,0.76,2.66,7.87,3.51,17.898,21.7
J,Industrials,Engineering & Construction,3.03,5.11,-6.43,-13.79,-0.82,-6.87,76.16,138.46,126.46,121.89,1.08,22.59,5.08,3.56,134.766,27.26
ALL,Financial Services,Insurance - Property & Casualty,3.02,5.73,11.39,-3.14,17.95,14.48,76.14,188.28,185.2,173.35,1.21,57.97,10.98,7.93,229.416,17.15
CRDL,Healthcare,Drug Manufacturers—Specialty & Generic,3.01,10.05,13.73,31.12,71.4,8.29,76.12,1.88,2.05,2.05,3.96,45.45,-0.32,3.7,,
SHOP,Technology,Software—Application,2.96,3.43,-10.17,-13.55,0.44,19.84,76.09,83.24,75.71,69.26,0.72,-57.43,0.99,9.05,6.036,84.08
GME,Consumer Cyclical,Specialty Retail,2.96,7.03,27.02,23.42,-44.45,-24.12,76.09,20.83,22.11,20.51,0.6,390.1,0.14,-47.69,13.97,148.79
ATO,Utilities,Utilities—Regulated Gas,2.95,4.29,3.32,-14.06,-11.62,-5.86,76.05,139.36,133.94,123.38,1.02,-24.69,6.77,-42.23,27.161,20.58
AVNT,Basic Materials,Specialty Chemicals,2.95,5.63,3.5,-7.3,-2.37,-9.02,76.05,48.51,47.72,45.0,0.92,48.58,1.26,11.55,34.555,38.5
BPOP,Financial Services,Banks—Regional,2.9,0.94,8.15,-4.36,5.94,12.81,76.02,100.57,98.71,92.25,1.04,71.91,7.1,6.54,36.215,14.16
EBTC,Financial Services,Banks—Regional,2.87,0.63,-0.13,-27.76,-24.56,-5.89,76.0,32.32,30.63,26.99,0.68,39.53,2.89,3.47,13.215,11.18
SCWO,Industrials,Pollution & Treatment Controls,2.83,-8.09,-15.41,-27.81,-42.0,-59.45,75.97,1.5,1.29,1.26,1.23,9.88,-0.07,-62.47,0.002,
TRMK,Financial Services,Banks—Regional,2.83,0.64,8.62,-1.4,-1.31,1.75,75.97,32.96,32.27,30.5,0.86,92.16,0.23,-600.73,8.786,143.3
UFPI,Basic Materials,Lumber & Wood Production,2.81,-1.42,-8.93,-16.23,0.98,13.91,75.95,136.89,124.68,119.89,1.03,38.08,7.72,14.07,116.279,17.73
TERN,Healthcare,Biotechnology,2.78,12.21,15.3,-2.38,-36.49,-24.54,75.93,7.67,8.09,7.12,0.9,45.05,-1.32,3.7,,
PLNT,Consumer Cyclical,Leisure,2.77,7.4,13.92,0.44,-14.79,-2.52,75.9,80.91,81.37,71.77,0.9,56.03,1.82,11.99,12.044,44.46
ROIC,Real Estate,REIT—Retail,2.77,3.43,6.23,-17.62,-18.47,-6.41,75.9,15.64,15.49,13.6,0.7,16.29,0.27,4.21,2.666,57.93
SAFE,Real Estate,REIT—Diversified,2.72,5.55,11.43,-19.34,-20.34,-27.99,75.86,24.54,25.09,21.67,1.04,234.77,-0.39,6.0,5.682,
SRBK,Financial Services,Banks—Regional,2.72,4.82,-0.11,-13.1,-6.78,-1.18,75.86,11.12,10.43,9.68,0.55,3201.98,-1.59,36.18,2.378,
CZFS,Financial Services,Banks—Regional,2.71,-8.81,-4.18,-32.84,-33.75,-18.55,75.82,59.55,53.86,47.95,1.86,3.15,5.94,1.33,20.681,10.03
GOOD,Real Estate,REIT—Diversified,2.71,3.55,3.73,-7.02,-9.45,-8.56,75.82,16.1,15.45,14.53,0.72,-55.28,-0.03,5.82,3.625,
KRMD,Healthcare,Medical Instruments & Supplies,2.69,-0.54,-3.22,-8.6,-22.3,-37.45,75.79,2.72,2.55,2.4,0.4,89.2,-0.25,13.12,0.674,
NVX,Industrials,Electrical Equipment & Parts,2.68,-7.55,-33.0,-25.55,-1.17,-40.59,75.76,2.3,1.72,1.98,3.27,,-0.36,,0.056,
BAC,Financial Services,Banks—Diversified,2.68,-0.45,2.99,5.82,6.29,4.57,75.76,41.95,39.73,39.24,1.11,48.63,2.85,6.94,11.891,14.72
RACE,Consumer Cyclical,Auto Manufacturers,2.64,-0.27,12.41,0.6,9.82,2.23,75.73,469.08,466.15,434.77,1.34,52.07,8.4,10.46,35.267,55.84
TME,Communication Services,Internet Content & Information,2.62,10.13,-9.89,32.97,27.46,7.25,75.71,12.78,11.23,12.69,1.1,53.62,0.5,8.26,17.695,25.56
SWK,Industrials,Tools & Accessories,2.58,3.14,-0.98,-23.89,-6.76,0.19,75.68,107.96,102.54,93.41,0.8,625.81,-1.8,6.99,103.832,
MCS,Communication Services,Entertainment,2.58,2.56,-3.59,-33.27,-20.04,-16.06,75.68,15.92,14.5,12.87,1.22,-229.46,-0.7,5.64,20.299,
AGAE,Communication Services,Entertainment,2.57,6.37,24.12,24.89,-15.83,-5.8,75.66,1.24,1.33,1.1,0.45,-94.95,-0.16,32.27,0.211,
SRCL,Industrials,Waste Management,2.56,4.19,12.38,4.99,-1.6,-4.36,75.62,60.81,60.34,55.8,0.98,7.95,0.39,4.24,28.439,155.92
RCM,Healthcare,Health Information Services,2.56,3.05,5.26,-27.16,-22.54,-36.1,75.62,14.21,14.1,13.08,0.43,102.13,-0.09,9.24,5.665,
EVER,Communication Services,Internet Content & Information,2.56,8.53,25.4,40.56,71.81,6.39,75.62,20.04,21.89,21.66,1.13,246.84,-0.83,51.4,9.324,
KRYS,Healthcare,Biotechnology,2.54,3.04,15.61,18.04,31.29,6.22,75.58,178.71,187.42,179.62,0.99,-94.13,3.95,72.82,5.877,45.24
LQDT,Consumer Cyclical,Internet Retail,2.52,1.8,2.44,-6.65,-6.92,-5.86,75.56,22.5,22.28,20.24,0.85,69.71,0.62,15.02,11.022,36.29
PFGC,Consumer Defensive,Food Distribution,2.51,0.57,-2.8,-16.86,-3.43,6.7,75.54,81.24,74.83,70.87,0.96,12.84,2.79,7.94,354.153,29.12
HAFC,Financial Services,Banks—Regional,2.48,-2.21,1.82,-18.17,-19.96,-4.82,75.52,19.9,19.13,17.28,1.03,17.85,2.2,-0.83,7.876,9.05
ADP,Technology,Software - Application,2.47,2.15,1.52,-16.15,-8.82,-6.11,75.49,288.36,274.17,255.58,0.91,48.44,9.11,3.02,46.767,31.65
MDWD,Healthcare,Biotechnology,2.47,3.65,11.97,40.95,24.47,0.62,75.49,16.81,17.72,17.19,0.53,28.94,-2.16,4.25,2.18,
OLLI,Consumer Defensive,Discount Stores,2.46,4.93,-0.18,10.76,-10.14,-3.03,75.45,96.09,95.12,88.38,1.18,29.2,3.28,8.09,36.047,29.3
PFS,Financial Services,Banks—Regional,2.46,-1.96,6.03,-22.55,-23.14,-11.51,75.45,18.83,18.36,16.24,0.82,-307.96,0.97,32.51,5.215,19.41
EFSCP,Financial Services,Banks—Regional,2.45,1.3,7.46,-3.88,1.94,-5.83,75.42,21.25,20.25,19.63,1.0,,4.142,2.95,15.553,5.13
FTI,Energy,Oil & Gas Equipment & Services,2.43,2.56,-4.48,3.18,24.33,7.38,75.4,27.65,26.26,26.17,0.68,86.52,1.1,13.89,19.597,25.14
SPNS,Technology,Software—Application,2.43,3.34,4.84,3.34,4.7,-2.73,75.4,36.57,36.04,34.56,0.8,40.27,1.23,6.43,9.567,29.73
WES,Energy,Oil & Gas Midstream,2.42,1.91,5.47,14.74,10.42,-3.85,75.37,39.79,38.87,38.05,0.52,32.7,3.87,9.39,8.999,10.28
HNST,Consumer Defensive,Household & Personal Products,2.4,4.12,31.68,4.19,57.66,35.12,75.35,3.57,3.96,3.43,2.34,9.88,-0.14,8.33,3.684,
CFB,Financial Services,Banks—Regional,2.38,3.25,16.84,-1.39,-2.63,10.05,75.32,16.18,16.92,14.94,0.85,37.18,1.42,6.13,4.795,11.39
NIC,Financial Services,Banks—Regional,2.38,-0.72,7.4,-11.43,-2.5,-1.35,75.32,96.7,94.73,87.38,0.81,44.16,6.91,4.64,22.243,13.99
NNI,Financial Services,Credit Services,2.35,3.67,7.52,-4.91,-10.42,-16.08,75.28,112.66,111.94,104.87,0.81,11.0,4.24,5.81,34.739,26.57
BFIN,Financial Services,Banks—Regional,2.35,2.21,4.88,-8.69,0.13,3.98,75.28,12.1,11.87,10.88,0.53,34.45,0.66,2.35,4.457,18.33
DSGX,Technology,Software—Application,2.34,-0.15,-1.03,1.59,-2.0,-5.24,75.25,105.7,100.21,96.84,1.18,43.02,1.48,11.27,7.13,71.42
COF,Financial Services,Credit Services,2.32,2.33,-0.44,-4.37,10.77,14.53,75.21,155.68,145.23,142.42,1.13,-58.77,10.63,4.34,68.115,14.65
WT,Financial Services,Asset Management,2.32,3.4,3.33,10.77,18.75,-4.14,75.21,9.91,9.88,9.75,0.63,36.95,0.48,12.11,2.638,20.65
ERII,Industrials,Pollution & Treatment Controls,2.32,-7.0,-19.17,-41.64,-39.65,-28.79,75.21,18.65,16.89,14.99,1.11,-992.05,0.35,-19.02,2.346,53.29
HGTY,Financial Services,Insurance—Property & Casualty,2.31,2.33,16.89,9.39,-10.45,-19.76,75.17,10.79,11.03,10.13,0.82,332.95,0.15,15.74,13.029,71.93
GXO,Industrials,Integrated Freight & Logistics,2.29,-17.98,-17.0,-25.72,-21.01,-4.15,75.15,61.98,51.02,51.05,3.6,42.35,1.18,5.34,86.97,52.53
UMH,Real Estate,REIT—Residential,2.28,4.61,15.14,-7.82,-10.29,-12.78,75.14,18.79,19.45,17.17,0.55,782.95,-0.07,8.14,3.383,
SII,Financial Services,Asset Management,2.22,3.95,-3.92,2.97,3.15,-11.19,75.12,44.55,42.28,42.11,0.76,64.63,1.59,21.06,7.21,28.02
ARC,Industrials,Specialty Business Services,2.16,2.67,6.05,-14.25,-22.8,-11.33,75.08,3.39,3.24,2.93,0.29,38.61,0.18,8.81,6.751,18.83
C,Financial Services,Banks—Diversified,2.16,-1.28,-0.15,7.53,12.54,7.46,75.08,65.74,61.32,61.92,0.99,96.19,3.62,4.64,36.461,18.16
SRAD,Technology,Software—Application,2.16,1.77,2.01,-12.43,-10.32,-12.18,75.08,12.41,11.79,11.05,1.2,-604.11,0.09,15.29,3.329,137.89
IBP,Consumer Cyclical,Residential Construction,2.11,3.98,-2.86,-4.11,45.46,24.21,75.04,238.67,226.92,228.53,0.91,37.16,8.95,7.61,101.389,26.67
MORN,Financial Services,Financial Data & Stock Exchanges,2.1,-2.97,-1.39,-3.51,10.8,9.99,75.02,340.08,316.17,305.39,1.47,44.95,5.71,9.17,50.794,59.56
ACM,Industrials,Engineering & Construction,1.98,1.04,-3.12,-17.48,-1.35,-4.4,74.99,105.82,99.72,93.82,0.85,144.72,2.71,8.54,116.019,39.05
MRBK,Financial Services,Banks—Regional,1.98,4.11,-3.01,-16.74,-26.69,2.86,74.99,12.92,11.83,10.66,0.52,59.27,0.95,6.97,8.196,13.6
AAPL,Technology,Consumer Electronics,1.97,2.65,6.16,5.47,-18.37,-4.45,74.96,227.55,225.18,205.37,0.77,15.27,6.58,-8.69,24.957,34.58
MNOV,Healthcare,Biotechnology,1.96,13.54,23.69,-30.02,-32.91,-34.26,74.94,1.78,1.65,1.48,0.49,3.92,-0.16,-2499999999999996.5,0.02,
GTES,Industrials,Specialty Industrial Machinery,1.92,2.26,2.44,-4.25,15.93,-5.42,74.92,17.7,17.45,17.09,0.69,46.64,0.93,5.35,13.204,19.03
IHG,Consumer Cyclical,Lodging,1.9,2.01,-2.87,0.8,8.89,13.54,74.9,112.26,103.7,102.7,0.54,,3.87,,3.890432,29.01
MLP,Real Estate,Real Estate Services,1.88,6.37,14.82,6.13,18.75,34.36,74.88,22.89,23.08,21.86,1.01,-2.64,-0.19,-2.84,0.58,
HRI,Industrials,Rental & Leasing Services,1.87,-0.53,-12.79,-20.81,11.0,0.84,74.86,166.1,147.02,146.86,1.34,11.21,11.91,3.7,119.859,13.95
IRT,Real Estate,REIT—Residential,1.87,4.9,13.19,3.02,-14.7,-16.25,74.86,19.19,20.09,18.2,1.3,799.62,-0.05,0.36,2.894,
UHAL,Industrials,Rental & Leasing Services,1.85,5.96,1.9,-12.77,-3.61,3.39,74.83,75.31,72.59,67.44,1.59,42.31,2.72,13.44,28.733,27.69
BHLB,Financial Services,Banks—Regional,1.84,-0.17,5.52,-13.67,-11.94,-4.52,74.81,27.16,26.75,24.24,0.89,371.41,0.51,27.16,7.582,53.25
