Company,Symbol,GICS Sector,GICS Sub-Industry
Lamar Advertising,LAMR,Real Estate,Other Specialized REITs
Lamb Weston,LW,Consumer Staples,Packaged Foods & Meats
Landstar,LSTR,Industrials,Cargo Ground Transportation
Las Vegas Sands,LVS,Consumer Discretionary,Casinos & Gaming
Lattice Semiconductor,LSCC,Information Technology,Semiconductors
Lazard,LAZ,Financials,
Lear,LEA,Consumer Discretionary,Automotive Parts & Equipment
Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings
Leidos,LDOS,Industrials,Diversified Support Services
Lennar (Class A),LEN,Consumer Discretionary,Homebuilding
Lennar (Class B),LEN.B,Consumer Discretionary,Homebuilding
Lennox International,LII,Industrials,Building Products
Liberty Broadband (Series A),LBRDA,Communication Services,
Liberty Broadband (Series C),LBRDK,Communication Services,
Liberty Global (Series A),LBTYA,Communication Services,Cable & Satellite
Liberty Global (Series C),LBTYK,Communication Services,Cable & Satellite
Liberty Formula 1 (Series A),FWONA,Communication Services,
Liberty Formula 1 (Series C),FWONK,Communication Services,
Liberty Live (Series A),LLYVA,Communication Services,
Liberty Live (Series C),LLYVK,Communication Services,
Liberty SiriusXM (Series A),LSXMA,Communication Services,
Liberty SiriusXM (Series C),LSXMK,Communication Services,
Light & Wonder,LNW,Consumer Discretionary,Casinos & Gaming
Lilly (Eli),LLY,Health Care,Pharmaceuticals
Lincoln Electric,LECO,Industrials,Industrial Machinery & Supplies & Components
Lincoln Financial,LNC,Financials,Multi-line Insurance
Linde,LIN,Materials,Industrial Gases
Lithia Motors,LAD,Consumer Discretionary,Automotive Retail
Littelfuse,LFUS,Information Technology,Electronic Components
Live Nation Entertainment,LYV,Communication Services,Movies & Entertainment
LKQ,LKQ,Consumer Discretionary,Distributors
Loar Holdings,LOAR,Industrials,Aerospace & Defense
Lockheed Martin,LMT,Industrials,Aerospace & Defense
Loews Corporation,L,Financials,Multi-line Insurance
Louisiana-Pacific,LPX,Materials,Forest Products
Lowe's,LOW,Consumer Discretionary,Home Improvement Retail
LPL Financial,LPLA,Financials,
Lucid Motors,LCID,Consumer Discretionary,Automobile Manufacturers
Lululemon,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Lumentum,LITE,Information Technology,
Lyft,LYFT,Industrials,Passenger Ground Transportation
LyondellBasell,LYB,Materials,Specialty Chemicals
M&T Bank,MTB,Financials,Regional Banks
MACOM Technology Solutions,MTSI,Information Technology,Semiconductors
Macy's,M,Consumer Discretionary,Department Stores
Madison Square Garden Sports,MSGS,Communication Services,
Manhattan Associates,MANH,Information Technology,
ManpowerGroup,MAN,Industrials,Human Resource & Employment Services
Maplebear Inc.,CART,Consumer Staples,
Marathon Oil,MRO,Energy,Oil & Gas Exploration & Production
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
Markel,MKL,Financials,
MarketAxess,MKTX,Financials,Financial Exchanges & Data
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marriott Vacations Worldwide,VAC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marsh McLennan,MMC,Financials,Insurance Brokers
Martin Marietta,MLM,Materials,Construction Materials
Marvell,MRVL,Information Technology,Semiconductors
Masco,MAS,Industrials,Building Products
Masimo,MASI,Health Care,Health Care Equipment
MasTec,MTZ,Industrials,Construction & Engineering
Mastercard,MA,Financials,Transaction & Payment Processing Services
Matador Resources,MTDR,Energy,Oil & Gas Exploration & Production
Match Group,MTCH,Communication Services,Interactive Media & Services
Mattel,MAT,Consumer Discretionary,Leisure Products
McCormick,MKC,Consumer Staples,Packaged Foods & Meats
McDonald's,MCD,Consumer Discretionary,Restaurants
McKesson Corporation,MCK,Health Care,Health Care Distributors
MDU Resources,MDU,Utilities,Multi-Utilities
Medical Properties Trust,MPW,Real Estate,Health Care REITs
Medpace,MEDP,Health Care,
Medtronic,MDT,Health Care,Health Care Equipment
Merck,MRK,Health Care,Pharmaceuticals
Meta,META,Communication Services,Interactive Media & Services
Metlife,MET,Financials,Life & Health Insurance
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
MGIC,MTG,Financials,Reinsurance
MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming
Microchip,MCHP,Information Technology,Semiconductors
Micron,MU,Information Technology,Semiconductors
Microsoft,MSFT,Information Technology,Systems Software
MicroStrategy,MSTR,Information Technology,Application Software
Mid-America Apartments,MAA,Real Estate,Residential REITs
Middleby,MIDD,Industrials,Industrial Machinery & Supplies & Components
MKS Instruments,MKSI,Information Technology,Semiconductor Materials & Equipment
Moderna,MRNA,Health Care,Biotechnology
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
Molina Healthcare,MOH,Health Care,Managed Health Care
Molson Coors,TAP,Consumer Staples,Brewers
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
MongoDB,MDB,Information Technology,
Monolithic Power Systems,MPWR,Information Technology,Semiconductors
Monster Beverage,MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Moody's,MCO,Financials,Financial Exchanges & Data
Morgan Stanley,MS,Financials,Investment Banking & Brokerage
Morningstar,MORN,Financials,
Mosaic,MOS,Materials,Fertilizers & Agricultural Chemicals
Motorola Solutions,MSI,Information Technology,Communications Equipment
MP Materials,MP,Materials,Diversified Metals & Mining
MSA Safety,MSA,Industrials,Office Services & Supplies
MSC Industrial Direct,MSM,Industrials,Trading Companies & Distributors
MSCI,MSCI,Financials,Financial Exchanges & Data
Murphy USA,MUSA,Consumer Discretionary,
Nasdaq,NDAQ,Financials,Financial Exchanges & Data
Natera,NTRA,Health Care,
National Fuel,NFG,Utilities,Gas Utilities
National Storage Affiliates,NSA,Real Estate,
nCino,NCNO,Information Technology,
Netapp,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
Netflix,NFLX,Communication Services,Movies & Entertainment
Neurocrine Biosciences,NBIX,Health Care,Biotechnology
New Fortress Energy,NFE,Energy,
New York Times Company,NYT,Communication Services,Publishing
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
NewMarket,NEU,Materials,Specialty Chemicals
Newmont,NEM,Materials,Gold
News Corp (Class A),NWSA,Communication Services,Publishing
News Corp (Class B),NWS,Communication Services,Publishing
Nexstar,NXST,Communication Services,
NextEra Energy,NEE,Utilities,Multi-Utilities
Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NiSource,NI,Utilities,Multi-Utilities
NNN Reit,NNN,Real Estate,Retail REITs
Nordson,NDSN,Industrials,Industrial Machinery & Supplies & Components
Nordstrom,JWN,Consumer Discretionary,Department Stores
Norfolk Southern,NSC,Industrials,Rail Transportation
Northern Trust,NTRS,Financials,Asset Management & Custody Banks
Northrop Grumman,NOC,Industrials,Aerospace & Defense
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Nov,NOV,Energy,Oil & Gas Equipment & Services
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
Nubank,NU,Financials,
Nucor,NUE,Materials,Steel
Nutanix,NTNX,Information Technology,
Nvent Electric,NVT,Industrials,
Nvidia,NVDA,Information Technology,Semiconductors
NVR,NVR,Consumer Discretionary,Homebuilding
O'Reilly Auto Parts,ORLY,Consumer Discretionary,Automotive Retail
Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production
OG&E,OGE,Utilities,Multi-Utilities
Okta,OKTA,Information Technology,Application Software
Old Dominion,ODFL,Industrials,Cargo Ground Transportation
Old Republic,ORI,Financials,Property & Casualty Insurance
Olin,OLN,Materials,Diversified Chemicals
Ollie's,OLLI,Consumer Discretionary,General Merchandise Stores
Omega Healthcare Investors,OHI,Real Estate,
Omnicom,OMC,Communication Services,Advertising
ON Semiconductor,ON,Information Technology,Semiconductors
OneMain Financial,OMF,Financials,
Oneok,OKE,Energy,Oil & Gas Storage & Transportation
Onto Innovation,ONTO,Information Technology,Semiconductor Materials & Equipment
Oracle,ORCL,Information Technology,Application Software
Organon,OGN,Health Care,Pharmaceuticals
Oshkosh,OSK,Industrials,Construction Machinery & Heavy Transportation Equipment
Otis,OTIS,Industrials,Industrial Machinery & Supplies & Components
Ovintiv,OVV,Energy,
Owens Corning,OC,Industrials,Building Products
Paccar,PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment
Packaging Corporation of America,PKG,Materials,Paper & Plastic Packaging Products & Materials
Palantir,PLTR,Information Technology,
Palo Alto Networks,PANW,Information Technology,Systems Software
Paramount (Class A),PARAA,Communication Services,Movies & Entertainment
Paramount (Class B),PARA,Communication Services,Movies & Entertainment
Park Hotels & Resorts,PK,Real Estate,Hotel & Resort REITs
Parker Hannifin,PH,Industrials,Industrial Machinery & Supplies & Components
Parsons,PSN,Industrials,Aerospace & Defense
Paychex,PAYX,Industrials,Human Resource & Employment Services
Paycom,PAYC,Information Technology,Application Software
Paycor,PYCR,Information Technology,
Paylocity,PCTY,Information Technology,Application Software
PayPal,PYPL,Financials,Transaction & Payment Processing Services
Pegasystems,PEGA,Information Technology,
Penn Entertainment,PENN,Consumer Discretionary,Casinos & Gaming
Penske Automotive,PAG,Consumer Discretionary,
Pentair,PNR,Industrials,Industrial Machinery & Supplies & Components
Penumbra,PEN,Health Care,
PepsiCo,PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Performance Food Group,PFGC,Consumer Staples,Food Distributors
Permian Resources,PR,Energy,Oil & Gas Exploration & Production
Perrigo,PRGO,Health Care,Pharmaceuticals
Pfizer,PFE,Health Care,Pharmaceuticals
PG&E,PCG,Utilities,
Philip Morris International,PM,Consumer Staples,Tobacco
Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
Pilgrim's Pride,PPC,Consumer Staples,Packaged Foods & Meats
Pinnacle Financial Partners,PNFP,Financials,Regional Banks
Pinnacle West,PNW,Utilities,Multi-Utilities
Pinterest,PINS,Communication Services,
Planet Fitness,PLNT,Consumer Discretionary,
Playtika,PLTK,Communication Services,
PNC Financial Services,PNC,Financials,Regional Banks
Polaris,PII,Consumer Discretionary,Leisure Products
Pool Corporation,POOL,Consumer Discretionary,Distributors
Popular,BPOP,Financials,
Post Holdings,POST,Consumer Staples,Packaged Foods & Meats
PPG Industries,PPG,Materials,Specialty Chemicals
PPL,PPL,Utilities,Electric Utilities
Premier,PINC,Health Care,
T. Rowe Price,TROW,Financials,Asset Management & Custody Banks
Primerica,PRI,Financials,Life & Health Insurance
Principal,PFG,Financials,Life & Health Insurance
Procore,PCOR,Information Technology,
Procter & Gamble,PG,Consumer Staples,Personal Care Products
Progressive,PGR,Financials,Property & Casualty Insurance
Prologis,PLD,Real Estate,Industrial REITs
Prosperity Bancshares,PB,Financials,Regional Banks
Prudential,PRU,Financials,Life & Health Insurance
PTC,PTC,Information Technology,Application Software
Public Storage,PSA,Real Estate,Self-Storage REITs
PSEG,PEG,Utilities,Electric Utilities
PulteGroup,PHM,Consumer Discretionary,Homebuilding
Pure Storage,PSTG,Information Technology,
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Qiagen,QGEN,Health Care,
Qorvo,QRVO,Information Technology,Semiconductors
Qualcomm,QCOM,Information Technology,Semiconductors
Quanta,PWR,Industrials,Construction & Engineering
QuantumScape,QS,Consumer Discretionary,
Quest Diagnostics,DGX,Health Care,Health Care Services
QuidelOrtho,QDEL,Health Care,Health Care Supplies
R1 RCM,RCM,Health Care,
Ralph Lauren,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Range Resources,RRC,Energy,Oil & Gas Exploration & Production
Raymond James,RJF,Financials,Investment Banking & Brokerage
Rayonier,RYN,Real Estate,Timber REITs
RTX Corporation,RTX,Industrials,Aerospace & Defense
RBC Bearings,RBC,Industrials,
Realty Income,O,Real Estate,Retail REITs
Regal Rexnord,RRX,Industrials,Electrical Components & Equipment
Regency Centers,REG,Real Estate,Retail REITs
Regeneron,REGN,Health Care,Biotechnology
Regions,RF,Financials,Regional Banks
Reinsurance Group of America,RGA,Financials,Reinsurance
Reliance Steel,RS,Materials,Steel
RenaissanceRe,RNR,Financials,Reinsurance
Repligen,RGEN,Health Care,Biotechnology
Republic Services,RSG,Industrials,Environmental & Facilities Services
Resmed,RMD,Health Care,Health Care Equipment
Revvity,RVTY,Health Care,Health Care Equipment
Rexford Industrial,REXR,Real Estate,
Reynolds Consumer Products,REYN,Consumer Staples,
RH,RH,Consumer Discretionary,Homefurnishing Retail
RingCentral,RNG,Information Technology,
Ritchie Bros. Auctioneers,RBA,Industrials,
Rithm Capital,RITM,Financials,
Rivian,RIVN,Consumer Discretionary,
RLI Corp.,RLI,Financials,
Robert Half,RHI,Industrials,Human Resource & Employment Services
Robinhood,HOOD,Financials,
Roblox,RBLX,Communication Services,
Rocket Companies,RKT,Financials,
Rockwell Automation,ROK,Industrials,Electrical Components & Equipment
Roivant Sciences,ROIV,Health Care,
Roku,ROKU,Communication Services,
Rollins,ROL,Industrials,Environmental & Facilities Services
Roper,ROP,Industrials,Industrial Conglomerates
Ross,ROST,Consumer Discretionary,Apparel Retail
Royal Caribbean Cruises,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Royal Gold,RGLD,Materials,Precious Metals & Minerals
Royalty Pharma,RPRX,Health Care,
RPM International,RPM,Materials,Specialty Chemicals
Ryan Specialty,RYAN,Financials,
Ryder,R,Industrials,Cargo Ground Transportation
S&P Global,SPGI,Financials,Financial Exchanges & Data
Saia,SAIA,Industrials,
SAIC,SAIC,Industrials,Diversified Support Services
Salesforce,CRM,Information Technology,Application Software
Sallie Mae,SLM,Financials,Consumer Finance
Sarepta Therapeutics,SRPT,Health Care,
SBA Communications,SBAC,Real Estate,Telecom Tower REITs
Henry Schein,HSIC,Health Care,Health Care Distributors
Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
Schneider National,SNDR,Industrials,
Scotts Miracle-Gro Company,SMG,Materials,Fertilizers & Agricultural Chemicals
Seaboard,SEB,Consumer Staples,
Sealed Air,SEE,Materials,Paper & Plastic Packaging Products & Materials
Seaport Entertainment Group,SEG,Real Estate,
SEI Investments Company,SEIC,Financials,Asset Management & Custody Banks
Sempra,SRE,Utilities,Multi-Utilities
Sensata Technologies,ST,Industrials,
SentinelOne,S,Information Technology,
Service Corporation International,SCI,Consumer Discretionary,Specialized Consumer Services
ServiceNow,NOW,Information Technology,Systems Software
SharkNinja,SN,Consumer Discretionary,Household Appliances
Sherwin-Williams,SHW,Materials,Specialty Chemicals
Shift4,FOUR,Information Technology,
Silgan Holdings,SLGN,Materials,"Metal, Glass & Plastic Containers"
Simon Property Group,SPG,Real Estate,Retail REITs
Simpson Manufacturing Company,SSD,Industrials,Building Products
Sirius XM,SIRI,Communication Services,Broadcasting
SiteOne Landscape Supply,SITE,Industrials,
Skechers,SKX,Consumer Discretionary,Footwear
Skyworks,SWKS,Information Technology,Semiconductors
Smartsheet Inc.,SMAR,Information Technology,
J.M. Smucker Company (The),SJM,Consumer Staples,Packaged Foods & Meats
Smurfit Westrock,SW,Materials,Paper & Plastic Packaging Products & Materials
Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components
Snowflake Inc.,SNOW,Information Technology,
SoFi,SOFI,Financials,
Solventum,SOLV,Health Care,Health Care Equipment
Sonoco,SON,Materials,Paper & Plastic Packaging Products & Materials
Sotera Health,SHC,Health Care,
Southern Company,SO,Utilities,Electric Utilities
Southern Copper,SCCO,Materials,
Southwest Airlines,LUV,Industrials,Passenger Airlines
Southwestern Energy,SWN,Energy,Oil & Gas Exploration & Production
Spectrum Brands,SPB,Consumer Staples,
Spirit Aerosystems,SPR,Industrials,
Spotify,SPOT,Communication Services,Movies & Entertainment
SS&C Technologies,SSNC,Information Technology,
STAG Industrial,STAG,Real Estate,
Stanley Black & Decker,SWK,Industrials,Industrial Machinery & Supplies & Components
Starbucks,SBUX,Consumer Discretionary,Restaurants
Starwood Property Trust,STWD,Financials,
State Street,STT,Financials,Asset Management & Custody Banks
Steel Dynamics,STLD,Materials,Steel
Stericycle,SRCL,Industrials,Environmental & Facilities Services
Steris,STE,Health Care,Health Care Equipment
Stifel,SF,Financials,Investment Banking & Brokerage
Stryker,SYK,Health Care,Health Care Equipment
Sun Communities,SUI,Real Estate,
Supermicro,SMCI,Information Technology,"Technology Hardware, Storage & Peripherals"
Synchrony,SYF,Financials,Consumer Finance
Synopsys,SNPS,Information Technology,Application Software
Synovus,SNV,Financials,Regional Banks
Sysco,SYY,Consumer Staples,Food Distributors
T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
Tapestry,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation
Target,TGT,Consumer Staples,Consumer Staples Merchandise Retail
TD Synnex,SNX,Information Technology,Technology Distributors
TechnipFMC,FTI,Energy,Oil & Gas Equipment & Services
Teledyne,TDY,Industrials,Aerospace & Defense
Teleflex,TFX,Health Care,Health Care Equipment
Tempur Sealy International,TPX,Consumer Discretionary,Home Furnishings
Tenet Health,THC,Health Care,Health Care Facilities
Teradata,TDC,Information Technology,IT Consulting & Other Services
Teradyne,TER,Information Technology,Semiconductor Materials & Equipment
Tesla,TSLA,Consumer Discretionary,Automobile Manufacturers
Tetra Tech,TTEK,Industrials,Environmental & Facilities Services
Texas Instruments,TXN,Information Technology,Semiconductors
Texas Pacific Land,TPL,Energy,
Texas Roadhouse,TXRH,Consumer Discretionary,
Textron,TXT,Industrials,Aerospace & Defense
Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
Third Federal S&L,TFSL,Financials,
Thor Industries,THO,Consumer Discretionary,Leisure Products
Timken,TKR,Industrials,Industrial Machinery & Supplies & Components
TJX Companies,TJX,Consumer Discretionary,Apparel Retail
TKO Group Holdings,TKO,Communication Services,Movies & Entertainment
Toast,TOST,Information Technology,Transaction & Payment Processing Services
Toll Brothers,TOL,Consumer Discretionary,Homebuilding
TopBuild,BLD,Consumer Discretionary,
Toro,TTC,Industrials,Agricultural & Farm Machinery
TPG Inc.,TPG,Financials,
Tractor Supply,TSCO,Consumer Discretionary,Other Specialty Retail
Trade Desk (The),TTD,Information Technology,
Tradeweb,TW,Financials,
Trane Technologies,TT,Industrials,Building Products
Transdigm,TDG,Industrials,Aerospace & Defense
TransUnion,TRU,Industrials,
Travel + Leisure,TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Travelers,TRV,Financials,Property & Casualty Insurance
Trex,TREX,Industrials,Building Products
Trimble,TRMB,Information Technology,Electronic Equipment & Instruments
Tripadvisor,TRIP,Communication Services,Interactive Media & Services
Truist,TFC,Financials,Regional Banks
Trump Media & Technology Group,DJT,Communication Services,Interactive Media & Services
Twilio,TWLO,Information Technology,
Tyler Technologies,TYL,Information Technology,Application Software
Tyson,TSN,Consumer Staples,Packaged Foods & Meats
U-Haul,UHAL,Industrials,
U-Haul (Series N),UHAL.B,Industrials,
U.S. Steel,X,Materials,Steel
Uber,UBER,Industrials,Passenger Ground Transportation
Ubiquiti,UI,Information Technology,
UDR,UDR,Real Estate,Residential REITs
UGI Corporation,UGI,Utilities,Gas Utilities
UiPath,PATH,Information Technology,
Ulta Beauty,ULTA,Consumer Discretionary,Other Specialty Retail
Ultragenyx,RARE,Health Care,
Under Armour (Class A),UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Under Armour (Class C),UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Union Pacific,UNP,Industrials,Rail Transportation
United Airlines,UAL,Industrials,Passenger Airlines
United Parcel Service,UPS,Industrials,Air Freight & Logistics
United Rentals,URI,Industrials,Trading Companies & Distributors
United Therapeutics,UTHR,Health Care,Biotechnology
United Wholesale Mortgage,UWMC,Financials,
UnitedHealth Group,UNH,Health Care,Managed Health Care
Unity,U,Information Technology,
Universal Display,OLED,Information Technology,Semiconductors
Universal Health Services,UHS,Health Care,Health Care Facilities
Unum,UNM,Financials,Life & Health Insurance
US Bancorp,USB,Financials,Diversified Banks
US Foods,USFD,Consumer Staples,
Vail Resorts,MTN,Consumer Discretionary,
Valero,VLO,Energy,Oil & Gas Refining & Marketing
Valmont Industries,VMI,Industrials,Industrial Machinery & Supplies & Components
Valvoline,VVV,Materials,Commodity Chemicals
Veeva Systems,VEEV,Health Care,
Ventas,VTR,Real Estate,Health Care REITs
Veralto,VLTO,Industrials,
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk,VRSK,Industrials,Research & Consulting Services
Verizon,VZ,Communication Services,Integrated Telecommunication Services
Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
Vertiv,VRT,Industrials,
Vestis,VSTS,Consumer Discretionary,
VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Viatris,VTRS,Health Care,Pharmaceuticals
Vici Properties,VICI,Real Estate,Hotel & Resort REITs
Viking Therapeutics,VKTX,Health Care,Biotechnology
Viper Energy,VNOM,Energy,Oil & Gas Storage & Transportation
Virtu Financial,VIRT,Financials,
Visa,V,Financials,Transaction & Payment Processing Services
Vistra Corp.,VST,Utilities,
Vontier,VNT,Information Technology,Electronic Equipment & Instruments
Vornado Realty Trust,VNO,Real Estate,Office REITs
Voya Financial,VOYA,Financials,Multi-Sector Holdings
Vulcan Materials,VMC,Materials,Construction Materials
W. P. Carey,WPC,Real Estate,
W. R. Berkley Corporation,WRB,Financials,Property & Casualty Insurance
Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Walmart,WMT,Consumer Staples,Consumer Staples Merchandise Retail
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
Waste Management,WM,Industrials,Environmental & Facilities Services
Waters,WAT,Health Care,Health Care Distributors
Watsco,WSO,Industrials,Trading Companies & Distributors
Wayfair,W,Consumer Discretionary,
Weatherford International,WFRD,Energy,Oil & Gas Equipment & Services
Webster Bank,WBS,Financials,Regional Banks
WEC Energy Group,WEC,Utilities,Electric Utilities
Wells Fargo,WFC,Financials,Diversified Banks
Welltower,WELL,Real Estate,Health Care REITs
Wendy's Company (The),WEN,Consumer Discretionary,Restaurants
Wesco,WCC,Industrials,
West Pharmaceutical Services,WST,Health Care,Health Care Supplies
Western Alliance Bancorp,WAL,Financials,
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
Western Union,WU,Information Technology,Data Processing & Outsourced Services
Westlake,WLK,Materials,
Wex,WEX,Financials,Transaction & Payment Processing Services
Weyerhaeuser,WY,Real Estate,Timber REITs
Whirlpool,WHR,Consumer Discretionary,Household Appliances
White Mountains,WTM,Financials,
Williams,WMB,Energy,Oil & Gas Storage & Transportation
Williams-Sonoma,WSM,Consumer Discretionary,Homefurnishing Retail
Willis Towers Watson,WTW,Financials,Insurance Brokers
WillScot Mobile Mini,WSC,Industrials,
Wingstop,WING,Consumer Discretionary,
Wintrust Financial,WTFC,Financials,Regional Banks
Wolfspeed,WOLF,Information Technology,Semiconductors
Woodward,WWD,Industrials,Electrical Components & Equipment
Workday,WDAY,Information Technology,Application Software
Wyndham Hotels & Resorts,WH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
Xcel Energy,XEL,Utilities,Multi-Utilities
XP Inc.,XP,Financials,Investment Banking & Brokerage
XPO Logistics,XPO,Industrials,Cargo Ground Transportation
Xylem,XYL,Industrials,Industrial Machinery & Supplies & Components
Yeti,YETI,Consumer Discretionary,Leisure Products
Yum! Brands,YUM,Consumer Discretionary,Restaurants
Zebra,ZBRA,Information Technology,Electronic Equipment & Instruments
Zillow (Class A),ZG,Real Estate,
Zillow (Class C),Z,Real Estate,
Zimmer Biomet,ZBH,Health Care,Health Care Equipment
Zions Bancorporation,ZION,Financials,Regional Banks
Zoetis,ZTS,Health Care,Pharmaceuticals
Zoom,ZM,Information Technology,Application Software
ZoomInfo,ZI,Communication Services,
Zscaler,ZS,Information Technology,Application Software
