Symbol,Name,Market Cap,Sector,Industry
AEO,"American Eagle Outfitters, Inc.",$2.86 B,Consumer Discretionary,Apparel Retail
RIG,Transocean Ltd.,$2.86 B,Energy,Oil & Gas Drilling
BMI,"Badger Meter, Inc.",$2.85 B,Industrials,Electrical Equipment & Parts
ACA,"Arcosa, Inc.",$2.85 B,Industrials,Infrastructure Operations
WERN,"Werner Enterprises, Inc.",$2.84 B,Industrials,Trucking
ARNC,Arconic Corporation,$2.83 B,Industrials,Specialty Industrial Machinery
REGI,"Renewable Energy Group, Inc.",$2.82 B,Energy,Oil & Gas Refining & Marketing
CBRL,"Cracker Barrel Old Country Store, Inc.",$2.82 B,Consumer Discretionary,Restaurants
UPWK,Upwork Inc.,$2.81 B,Industrials,Staffing & Employment Services
PBF,PBF Energy Inc.,$2.81 B,Energy,Oil & Gas Refining & Marketing
NHI,"National Health Investors, Inc.",$2.80 B,Real Estate,REIT—Healthcare Facilities
BCC,Boise Cascade Company,$2.80 B,Basic Materials,Lumber & Wood Production
BCRX,"BioCryst Pharmaceuticals, Inc.",$2.78 B,Healthcare,Biotechnology
BANF,BancFirst Corporation,$2.77 B,Financials,Banks
BOOT,"Boot Barn Holdings, Inc.",$2.77 B,Consumer Discretionary,Apparel Retail
IPAR,"Inter Parfums, Inc.",$2.77 B,Consumer Staples,Household & Personal Products
EVH,"Evolent Health, Inc.",$2.76 B,Healthcare,Health Information Services
RUSHA,"Rush Enterprises, Inc.",$2.75 B,Consumer Discretionary,Auto & Truck Dealerships
UFS,Domtar Corporation,$2.75 B,Basic Materials,Paper & Paper Products
FULT,Fulton Financial Corporation,$2.75 B,Financials,Banks
SHAK,Shake Shack Inc.,$2.74 B,Consumer Discretionary,Restaurants
MAXR,Maxar Technologies Inc.,$2.74 B,Technology,Communication Equipment
ONB,Old National Bancorp,$2.74 B,Financials,Banks
AIN,Albany International Corp.,$2.73 B,Consumer Discretionary,Textile Manufacturing
LCII,LCI Industries,$2.73 B,Consumer Discretionary,Recreational Vehicles
GLNG,Golar LNG Limited,$2.73 B,Energy,Oil & Gas Midstream
WOR,"Worthington Industries, Inc.",$2.73 B,Industrials,Metal Fabrication
CALM,"Cal-Maine Foods, Inc.",$2.72 B,Consumer Staples,Farm Products
MDC,"M.D.C. Holdings, Inc.",$2.71 B,Consumer Discretionary,Residential Construction
HMHC,Houghton Mifflin Harcourt Company,$2.71 B,Consumer Staples,Education & Training Services
HUBG,"Hub Group, Inc.",$2.71 B,Industrials,Integrated Freight & Logistics
IHRT,"iHeartMedia, Inc.",$2.70 B,Communication Services,Broadcasting
IRT,"Independence Realty Trust, Inc.",$2.70 B,Real Estate,REIT—Residential
MDP,Meredith Corporation,$2.70 B,Communication Services,Publishing
AXNX,"Axonics, Inc.",$2.70 B,Healthcare,Medical Devices
AX,"Axos Financial, Inc.",$2.70 B,Financials,Banks
INDB,Independent Bank Corp.,$2.68 B,Financials,Banks
VRRM,Verra Mobility Corporation,$2.68 B,Industrials,Security & Protection Services
IBOC,International Bancshares Corporation,$2.68 B,Financials,Banks
CVA,Covanta Holding Corporation,$2.68 B,Industrials,Waste Management
LBRT,Liberty Oilfield Services Inc.,$2.67 B,Energy,Oil & Gas Equipment & Services
FWRD,Forward Air Corporation,$2.67 B,Industrials,Integrated Freight & Logistics
PBH,Prestige Consumer Healthcare Inc.,$2.65 B,Healthcare,Medical Distribution
RLAY,"Relay Therapeutics, Inc.",$2.65 B,Healthcare,Biotechnology
SWTX,"SpringWorks Therapeutics, Inc.",$2.64 B,Healthcare,Biotechnology
SANM,Sanmina Corporation,$2.62 B,Technology,Electronic Components
AMEH,"Apollo Medical Holdings, Inc.",$2.62 B,Healthcare,Medical Care Facilities
MTOR,"Meritor, Inc.",$2.62 B,Consumer Discretionary,Auto Parts
ALGT,Allegiant Travel Company,$2.61 B,Industrials,Airlines
INSM,Insmed Incorporated,$2.61 B,Healthcare,Biotechnology
CWH,"Camping World Holdings, Inc.",$2.61 B,Consumer Discretionary,Recreational Vehicles
MLKN,"MillerKnoll, Inc.",$2.60 B,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
GKOS,Glaukos Corporation,$2.60 B,Healthcare,Medical Instruments & Supplies
ITGR,Integer Holdings Corporation,$2.59 B,Healthcare,Medical Devices
CORT,Corcept Therapeutics Incorporated,$2.59 B,Healthcare,Biotechnology
OTTR,Otter Tail Corporation,$2.59 B,Utilities,Utilities—Diversified
NGVT,Ingevity Corporation,$2.59 B,Basic Materials,Specialty Chemicals
CALX,"Calix, Inc.",$2.59 B,Technology,Software—Application
DAN,Dana Incorporated,$2.58 B,Consumer Discretionary,Auto Parts
PJT,PJT Partners Inc.,$2.57 B,Financials,Capital Markets
HLIO,"Helios Technologies, Inc.",$2.56 B,Industrials,Specialty Industrial Machinery
SHO,"Sunstone Hotel Investors, Inc.",$2.56 B,Real Estate,REIT—Hotel & Motel
IBP,"Installed Building Products, Inc.",$2.54 B,Industrials,Building Products & Equipment
BRP,"BRP Group, Inc.",$2.53 B,Financials,Insurance Brokers
YELP,Yelp Inc.,$2.53 B,Communication Services,Internet Content & Information
NG,NovaGold Resources Inc.,$2.53 B,Basic Materials,Gold
AIMC,Altra Industrial Motion Corp.,$2.53 B,Industrials,Specialty Industrial Machinery
AAWW,"Atlas Air Worldwide Holdings, Inc.",$2.53 B,Industrials,Airports & Air Services
WDFC,WD-40 Company,$2.52 B,Basic Materials,Specialty Chemicals
ATSG,"Air Transport Services Group, Inc.",$2.52 B,Industrials,Integrated Freight & Logistics
PTCT,"PTC Therapeutics, Inc.",$2.51 B,Healthcare,Biotechnology
TEX,Terex Corporation,$2.50 B,Industrials,Farm & Heavy Construction Machinery
BDC,Belden Inc.,$2.49 B,Industrials,Electrical Equipment & Parts
KTOS,"Kratos Defense & Security Solutions, Inc.",$2.49 B,Industrials,Aerospace & Defense
EPAY,"Bottomline Technologies, Inc.",$2.48 B,Technology,Software—Infrastructure
MGLN,"Magellan Health, Inc.",$2.48 B,Healthcare,Healthcare Plans
ODP,The ODP Corporation,$2.48 B,Consumer Discretionary,Specialty Retail
CVI,"CVR Energy, Inc.",$2.48 B,Energy,Oil & Gas Refining & Marketing
ACLS,"Axcelis Technologies, Inc.",$2.47 B,Technology,Semiconductor Equipment & Materials
RAMP,"LiveRamp Holdings, Inc.",$2.47 B,Technology,Information Technology Services
BTU,Peabody Energy Corporation,$2.46 B,Energy,Thermal Coal
CYTK,"Cytokinetics, Incorporated",$2.46 B,Healthcare,Biotechnology
LAUR,"Laureate Education, Inc.",$2.46 B,Consumer Staples,Education & Training Services
ABR,"Arbor Realty Trust, Inc.",$2.45 B,Real Estate,REIT—Mortgage
NOVA,Sunnova Energy International Inc.,$2.45 B,Technology,Solar
URBN,"Urban Outfitters, Inc.",$2.45 B,Consumer Discretionary,Apparel Retail
KTB,"Kontoor Brands, Inc.",$2.44 B,Consumer Discretionary,Apparel Manufacturing
CPK,Chesapeake Utilities Corporation,$2.43 B,Utilities,Utilities—Regulated Gas
TR,"Tootsie Roll Industries, Inc.",$2.43 B,Consumer Staples,Confectioners
BRC,Brady Corporation,$2.43 B,Industrials,Security & Protection Services
KMT,Kennametal Inc.,$2.43 B,Industrials,Tools & Accessories
HTH,Hilltop Holdings Inc.,$2.41 B,Financials,Banks
NVRO,Nevro Corp.,$2.41 B,Healthcare,Medical Devices
LGIH,"LGI Homes, Inc.",$2.41 B,Consumer Discretionary,Residential Construction
CENX,Century Aluminum Company,$2.41 B,Basic Materials,Aluminum
KAR,"KAR Auction Services, Inc.",$2.40 B,Consumer Discretionary,Specialty Retail
THRM,Gentherm Incorporated,$2.39 B,Consumer Discretionary,Auto Parts
CLNY,"DigitalBridge Group, Inc.",$2.39 B,Real Estate,REIT—Diversified
PSMT,"PriceSmart, Inc.",$2.39 B,Consumer Staples,Discount Stores
WAFD,"Washington Federal, Inc.",$2.38 B,Financials,Banks
FOLD,"Amicus Therapeutics, Inc.",$2.38 B,Healthcare,Biotechnology
NTCT,"NetScout Systems, Inc.",$2.38 B,Technology,Software—Infrastructure
TPH,"Tri Pointe Homes, Inc.",$2.37 B,Consumer Discretionary,Residential Construction
BBBY,Bed Bath & Beyond Inc.,$2.36 B,Consumer Discretionary,Specialty Retail
WSBC,"WesBanco, Inc.",$2.36 B,Financials,Banks
CENT,Central Garden & Pet Company,$2.36 B,Consumer Staples,Packaged Foods
FMBI,"First Midwest Bancorp, Inc.",$2.35 B,Financials,Banks
RES,"RPC, Inc.",$2.35 B,Energy,Oil & Gas Equipment & Services
PLXS,Plexus Corp.,$2.35 B,Technology,Electronic Components
TELL,Tellurian Inc.,$2.34 B,Energy,Oil & Gas E&P
SAVE,"Spirit Airlines, Inc.",$2.34 B,Industrials,Airlines
ROIC,Retail Opportunity Investments Corp.,$2.34 B,Real Estate,REIT—Retail
ITRI,"Itron, Inc.",$2.34 B,Technology,Scientific & Technical Instruments
CLBK,"Columbia Financial, Inc.",$2.33 B,Financials,Banks
COLB,"Columbia Banking System, Inc.",$2.33 B,Financials,Banks
RLJ,RLJ Lodging Trust,$2.32 B,Real Estate,REIT—Hotel & Motel
AI,"C3.ai, Inc.",$2.31 B,Technology,Information Technology Services
AAT,"American Assets Trust, Inc.",$2.31 B,Real Estate,REIT—Diversified
OPK,"OPKO Health, Inc.",$2.31 B,Healthcare,Diagnostics & Research
PRMW,Primo Water Corporation,$2.30 B,Consumer Staples,Beverages—Non-Alcoholic
NXRT,"NexPoint Residential Trust, Inc.",$2.30 B,Real Estate,REIT—Residential
SDGR,"Schrödinger, Inc.",$2.30 B,Healthcare,Health Information Services
TBK,"Triumph Bancorp, Inc.",$2.29 B,Financials,Banks
IOSP,Innospec Inc.,$2.29 B,Basic Materials,Specialty Chemicals
MIK,"The Michaels Companies, Inc.",$2.29 B,Consumer Discretionary,Specialty Retail
UNFI,"United Natural Foods, Inc.",$2.28 B,Consumer Staples,Food Distribution
AVAV,"AeroVironment, Inc.",$2.28 B,Industrials,Aerospace & Defense
RXT,"Rackspace Technology, Inc.",$2.28 B,Technology,Software—Infrastructure
SCL,Stepan Company,$2.28 B,Basic Materials,Specialty Chemicals
STFC,State Auto Financial Corporation,$2.28 B,Financials,Insurance—Property & Casualty
CVET,"Covetrus, Inc.",$2.28 B,Healthcare,Health Information Services
WIRE,Encore Wire Corporation,$2.28 B,Industrials,Electrical Equipment & Parts
LILAK,Liberty Latin America Ltd.,$2.28 B,Communication Services,Telecom Services
LILA,Liberty Latin America Ltd.,$2.28 B,Communication Services,Telecom Services
FRME,First Merchants Corporation,$2.27 B,Financials,Banks
GCP,GCP Applied Technologies Inc.,$2.27 B,Basic Materials,Specialty Chemicals
FIBK,"First Interstate BancSystem, Inc.",$2.27 B,Financials,Banks
UE,Urban Edge Properties,$2.25 B,Real Estate,REIT—Diversified
FFBC,First Financial Bancorp.,$2.24 B,Financials,Banks
FBC,"Flagstar Bancorp, Inc.",$2.24 B,Financials,Banks
PLAY,"Dave & Buster's Entertainment, Inc.",$2.23 B,Consumer Discretionary,Restaurants
MTX,Minerals Technologies Inc.,$2.23 B,Basic Materials,Chemicals
AHCO,AdaptHealth Corp.,$2.22 B,Healthcare,Medical Devices
KAI,Kadant Inc.,$2.22 B,Industrials,Specialty Industrial Machinery
WSFS,WSFS Financial Corporation,$2.21 B,Financials,Banks
XHR,"Xenia Hotels & Resorts, Inc.",$2.21 B,Real Estate,REIT—Hotel & Motel
CXP,"Columbia Property Trust, Inc.",$2.21 B,Real Estate,REIT—Office
RCUS,"Arcus Biosciences, Inc.",$2.21 B,Healthcare,Biotechnology
CMP,"Compass Minerals International, Inc.",$2.20 B,Basic Materials,Other Industrial Metals & Mining
CBZ,"CBIZ, Inc.",$2.20 B,Industrials,Specialty Business Services
CNNE,"Cannae Holdings, Inc.",$2.20 B,Consumer Discretionary,Restaurants
VCRA,"Vocera Communications, Inc.",$2.20 B,Technology,Communication Equipment
SPXC,SPX Corporation,$2.20 B,Industrials,Specialty Industrial Machinery
TTGT,"TechTarget, Inc.",$2.19 B,Communication Services,Internet Content & Information
EBS,Emergent BioSolutions Inc.,$2.18 B,Healthcare,Drug Manufacturers—Specialty & Generic
TOWN,TowneBank,$2.18 B,Financials,Banks
WRE,Washington Real Estate Investment Trust,$2.18 B,Real Estate,REIT—Office
DOOR,Masonite International Corporation,$2.17 B,Industrials,Building Products & Equipment
CVCO,"Cavco Industries, Inc.",$2.17 B,Consumer Discretionary,Residential Construction
PDM,"Piedmont Office Realty Trust, Inc.",$2.16 B,Real Estate,REIT—Office
JACK,Jack in the Box Inc.,$2.16 B,Consumer Discretionary,Restaurants
TWST,Twist Bioscience Corporation,$2.16 B,Healthcare,Diagnostics & Research
SBGI,"Sinclair Broadcast Group, Inc.",$2.13 B,Communication Services,Broadcasting
PRK,Park National Corporation,$2.13 B,Financials,Banks
GTN,"Gray Television, Inc.",$2.12 B,Communication Services,Broadcasting
DRH,DiamondRock Hospitality Company,$2.12 B,Real Estate,REIT—Hotel & Motel
CAKE,The Cheesecake Factory Incorporated,$2.11 B,Consumer Discretionary,Restaurants
CSGS,"CSG Systems International, Inc.",$2.11 B,Technology,Software—Infrastructure
LOB,"Live Oak Bancshares, Inc.",$2.10 B,Financials,Banks
MMI,"Marcus & Millichap, Inc.",$2.10 B,Real Estate,Real Estate Services
GMS,GMS Inc.,$2.09 B,Industrials,Building Products & Equipment
SASR,"Sandy Spring Bancorp, Inc.",$2.09 B,Financials,Banks
CMRE,Costamare Inc.,$2.09 B,Industrials,Marine Shipping
RAVN,"Raven Industries, Inc.",$2.09 B,Industrials,Specialty Industrial Machinery
SJW,SJW Group,$2.09 B,Utilities,Utilities—Regulated Water
ARCH,"Arch Resources, Inc.",$2.09 B,Energy,Thermal Coal
NEX,NexTier Oilfield Solutions Inc.,$2.09 B,Energy,Oil & Gas Equipment & Services
FCPT,"Four Corners Property Trust, Inc.",$2.09 B,Real Estate,REIT—Hotel & Motel
NVEE,"NV5 Global, Inc.",$2.08 B,Industrials,Engineering & Construction
PING,Ping Identity Holding Corp.,$2.08 B,Technology,Software—Infrastructure
B,Barnes Group Inc.,$2.08 B,Industrials,Specialty Industrial Machinery
PRGS,Progress Software Corporation,$2.08 B,Technology,Software—Application
GOGO,Gogo Inc.,$2.08 B,Communication Services,Telecom Services
OI,"O-I Glass, Inc.",$2.07 B,Consumer Discretionary,Packaging & Containers
MNR,Monmouth Real Estate Investment Corporation,$2.06 B,Real Estate,REIT—Industrial
FBK,FB Financial Corporation,$2.06 B,Financials,Banks
ARCB,ArcBest Corporation,$2.06 B,Industrials,Trucking
NK,"NantKwest, Inc.",$2.05 B,Healthcare,Biotechnology
PRAA,"PRA Group, Inc.",$2.05 B,Financials,Credit Services
MWA,"Mueller Water Products, Inc.",$2.05 B,Industrials,Specialty Industrial Machinery
FSS,Federal Signal Corporation,$2.05 B,Industrials,Pollution & Treatment Controls
NPO,"EnPro Industries, Inc.",$2.05 B,Industrials,Specialty Industrial Machinery
MGRC,McGrath RentCorp,$2.05 B,Industrials,Rental & Leasing Services
CNK,"Cinemark Holdings, Inc.",$2.04 B,Communication Services,Entertainment
EPC,Edgewell Personal Care Company,$2.03 B,Consumer Staples,Household & Personal Products
JELD,"JELD-WEN Holding, Inc.",$2.03 B,Industrials,Building Products & Equipment
DDD,3D Systems Corporation,$2.03 B,Technology,Computer Hardware
IRWD,"Ironwood Pharmaceuticals, Inc.",$2.03 B,Healthcare,Drug Manufacturers—Specialty & Generic
ARI,"Apollo Commercial Real Estate Finance, Inc.",$2.02 B,Real Estate,REIT—Mortgage
HOPE,"Hope Bancorp, Inc.",$2.01 B,Financials,Banks
BANR,Banner Corporation,$2.00 B,Financials,Banks
CRS,Carpenter Technology Corporation,$2.00 B,Industrials,Metal Fabrication
MD,"MEDNAX, Inc.",$2.00 B,Healthcare,Medical Care Facilities
MED,"Medifast, Inc.",$1.99 B,Consumer Discretionary,Personal Services
KN,Knowles Corporation,$1.99 B,Technology,Communication Equipment
HTLF,"Heartland Financial USA, Inc.",$1.99 B,Financials,Banks
KRG,Kite Realty Group Trust,$1.95 B,Real Estate,REIT—Retail
BLMN,"Bloomin' Brands, Inc.",$1.95 B,Consumer Discretionary,Restaurants
PIPR,Piper Sandler Companies,$1.95 B,Financials,Capital Markets
ECPG,"Encore Capital Group, Inc.",$1.94 B,Financials,Mortgage Finance
ANF,Abercrombie & Fitch Co.,$1.94 B,Consumer Discretionary,Apparel Retail
IDCC,"InterDigital, Inc.",$1.94 B,Communication Services,Telecom Services
VGR,Vector Group Ltd.,$1.93 B,Consumer Staples,Tobacco
TGH,Textainer Group Holdings Limited,$1.93 B,Industrials,Rental & Leasing Services
SMCI,"Super Micro Computer, Inc.",$1.93 B,Technology,Computer Hardware
CUB,Cubic Corporation,$1.93 B,Industrials,Aerospace & Defense
TSE,Trinseo SA,$1.92 B,Basic Materials,Specialty Chemicals
HCC,"Warrior Met Coal, Inc.",$1.92 B,Basic Materials,Coking Coal
WMK,"Weis Markets, Inc.",$1.91 B,Consumer Staples,Grocery Stores
RNST,Renasant Corporation,$1.91 B,Financials,Banks
BKE,"The Buckle, Inc.",$1.91 B,Consumer Discretionary,Apparel Retail
AKR,Acadia Realty Trust,$1.91 B,Real Estate,REIT—Retail
TRMK,Trustmark Corporation,$1.90 B,Financials,Banks
VSTO,Vista Outdoor Inc.,$1.90 B,Consumer Discretionary,Leisure
VIE,"Viela Bio, Inc.",$1.90 B,Healthcare,Biotechnology
SBCF,Seacoast Banking Corporation of Florida,$1.90 B,Financials,Banks
CDNA,"CareDx, Inc",$1.90 B,Healthcare,Diagnostics & Research
VRTV,Veritiv Corporation,$1.90 B,Industrials,Business Equipment & Supplies
CTRE,"CareTrust REIT, Inc.",$1.89 B,Real Estate,REIT—Healthcare Facilities
RILY,"B. Riley Financial, Inc.",$1.89 B,Financials,Financial Conglomerates
GNW,"Genworth Financial, Inc.",$1.89 B,Financials,Insurance—Life
FIT,"Fitbit, Inc.",$1.89 B,Technology,Scientific & Technical Instruments
SPNS,Sapiens International Corporation N.V.,$1.89 B,Technology,Software—Application
PQG,PQ Group Holdings Inc.,$1.88 B,Basic Materials,Specialty Chemicals
VBTX,"Veritex Holdings, Inc.",$1.87 B,Financials,Banks
PACB,"Pacific Biosciences of California, Inc.",$1.87 B,Healthcare,Diagnostics & Research
MYGN,"Myriad Genetics, Inc.",$1.86 B,Healthcare,Diagnostics & Research
WWW,"Wolverine World Wide, Inc.",$1.85 B,Consumer Discretionary,Footwear & Accessories
GSKY,"GreenSky, Inc.",$1.85 B,Technology,Software—Infrastructure
GWB,"Great Western Bancorp, Inc.",$1.85 B,Financials,Banks
CTB,Cooper Tire & Rubber Company,$1.85 B,Consumer Discretionary,Auto Parts
CSWI,"CSW Industrials, Inc.",$1.85 B,Industrials,Specialty Industrial Machinery
LKFN,Lakeland Financial Corporation,$1.85 B,Financials,Banks
MGPI,"MGP Ingredients, Inc.",$1.85 B,Consumer Staples,Packaged Foods
KRO,"Kronos Worldwide, Inc.",$1.84 B,Basic Materials,Specialty Chemicals
RLGY,Realogy Holdings Corp.,$1.84 B,Real Estate,Real Estate Services
SAH,"Sonic Automotive, Inc.",$1.84 B,Consumer Discretionary,Auto & Truck Dealerships
WGO,"Winnebago Industries, Inc.",$1.84 B,Consumer Discretionary,Recreational Vehicles
CCS,"Century Communities, Inc.",$1.83 B,Consumer Discretionary,Residential Construction
RDFN,Redfin Corporation,$1.83 B,Real Estate,Real Estate Services
NTB,The Bank of N.T. Butterfield & Son Limited,$1.83 B,Financials,Banks
LGND,Ligand Pharmaceuticals Incorporated,$1.82 B,Healthcare,Biotechnology
MSEX,Middlesex Water Company,$1.82 B,Utilities,Utilities—Regulated Water
ESE,ESCO Technologies Inc.,$1.82 B,Technology,Scientific & Technical Instruments
MFA,"MFA Financial, Inc.",$1.81 B,Real Estate,REIT—Mortgage
EGBN,"Eagle Bancorp, Inc.",$1.81 B,Financials,Banks
FOE,Ferro Corporation,$1.81 B,Basic Materials,Specialty Chemicals
OSTK,"Overstock.com, Inc.",$1.81 B,Consumer Discretionary,Internet Retail
EGOV,NIC Inc.,$1.80 B,Technology,Software—Application
UCTT,"Ultra Clean Holdings, Inc.",$1.80 B,Technology,Semiconductor Equipment & Materials
XPER,Xperi Holding Corporation,$1.80 B,Technology,Semiconductor Equipment & Materials
ICFI,"ICF International, Inc.",$1.80 B,Industrials,Consulting Services
EVRI,Everi Holdings Inc.,$1.80 B,Consumer Discretionary,Gambling
AMCX,AMC Networks Inc.,$1.79 B,Communication Services,Broadcasting
DEA,"Easterly Government Properties, Inc.",$1.79 B,Real Estate,REIT—Office
FRO,Frontline Ltd.,$1.79 B,Energy,Oil & Gas Midstream
PFS,"Provident Financial Services, Inc.",$1.79 B,Financials,Banks
BGS,"B&G Foods, Inc.",$1.79 B,Consumer Staples,Packaged Foods
ZNTL,"Zentalis Pharmaceuticals, Inc.",$1.79 B,Healthcare,Biotechnology
VRTS,"Virtus Investment Partners, Inc.",$1.79 B,Financials,Asset Management
RVMD,"Revolution Medicines, Inc.",$1.78 B,Healthcare,Biotechnology
IRBT,iRobot Corporation,$1.78 B,Technology,Consumer Electronics
SBH,"Sally Beauty Holdings, Inc.",$1.78 B,Consumer Discretionary,Specialty Retail
FLGT,"Fulgent Genetics, Inc.",$1.78 B,Healthcare,Diagnostics & Research
VCEL,Vericel Corporation,$1.78 B,Healthcare,Biotechnology
INFN,Infinera Corporation,$1.78 B,Technology,Communication Equipment
TBIO,"Translate Bio, Inc.",$1.77 B,Healthcare,Biotechnology
NWBI,"Northwest Bancshares, Inc.",$1.77 B,Financials,Banks
BSIG,BrightSphere Investment Group Inc.,$1.77 B,Financials,Asset Management
ZUO,"Zuora, Inc.",$1.76 B,Technology,Software—Infrastructure
CDLX,"Cardlytics, Inc.",$1.76 B,Communication Services,Internet Content & Information
HMN,Horace Mann Educators Corporation,$1.75 B,Financials,Insurance—Property & Casualty
NMIH,"NMI Holdings, Inc.",$1.75 B,Financials,Insurance—Property & Casualty
FRG,"Franchise Group, Inc.",$1.74 B,Consumer Discretionary,Personal Services
SSP,The E.W. Scripps Company,$1.74 B,Communication Services,Broadcasting
LNN,Lindsay Corporation,$1.73 B,Industrials,Farm & Heavy Construction Machinery
CATM,Cardtronics plc,$1.73 B,Industrials,Business Equipment & Supplies
STAR,iStar Inc.,$1.73 B,Real Estate,REIT—Diversified
AMPH,"Amphastar Pharmaceuticals, Inc.",$1.73 B,Healthcare,Drug Manufacturers—Specialty & Generic
MTRN,Materion Corporation,$1.72 B,Basic Materials,Other Industrial Metals & Mining
EAT,"Brinker International, Inc.",$1.72 B,Consumer Discretionary,Restaurants
GBX,"The Greenbrier Companies, Inc.",$1.72 B,Industrials,Railroads
CASH,"Meta Financial Group, Inc.",$1.72 B,Financials,Banks
QADA,QAD Inc.,$1.72 B,Technology,Software—Application
INT,World Fuel Services Corporation,$1.72 B,Energy,Oil & Gas Refining & Marketing
CUBI,"Customers Bancorp, Inc.",$1.72 B,Financials,Banks
MEI,"Methode Electronics, Inc.",$1.71 B,Technology,Electronic Components
VCYT,"Veracyte, Inc.",$1.71 B,Healthcare,Biotechnology
RCII,"Rent-A-Center, Inc.",$1.71 B,Industrials,Rental & Leasing Services
AIR,AAR Corp.,$1.70 B,Industrials,Aerospace & Defense
SKT,"Tanger Factory Outlet Centers, Inc.",$1.70 B,Real Estate,REIT—Retail
ALG,Alamo Group Inc.,$1.70 B,Industrials,Farm & Heavy Construction Machinery
CLNE,Clean Energy Fuels Corp.,$1.70 B,Energy,Oil & Gas Refining & Marketing
ANDE,"The Andersons, Inc.",$1.69 B,Consumer Staples,Food Distribution
FCEL,"FuelCell Energy, Inc.",$1.69 B,Industrials,Electrical Equipment & Parts
CLI,Mack-Cali Realty Corporation,$1.69 B,Real Estate,REIT—Office
ALEX,"Alexander & Baldwin, Inc.",$1.69 B,Real Estate,REIT—Diversified
BGCP,"BGC Partners, Inc.",$1.68 B,Financials,Capital Markets
IMKTA,"Ingles Markets, Incorporated",$1.68 B,Consumer Staples,Grocery Stores
TGI,"Triumph Group, Inc.",$1.68 B,Industrials,Aerospace & Defense
STC,Stewart Information Services Corporation,$1.68 B,Financials,Insurance—Property & Casualty
PMT,PennyMac Mortgage Investment Trust,$1.68 B,Real Estate,REIT—Mortgage
SUPN,"Supernus Pharmaceuticals, Inc.",$1.67 B,Healthcare,Drug Manufacturers—Specialty & Generic
STRA,"Strategic Education, Inc.",$1.66 B,Consumer Staples,Education & Training Services
CCXI,"ChemoCentryx, Inc.",$1.65 B,Healthcare,Biotechnology
GDEN,"Golden Entertainment, Inc.",$1.65 B,Consumer Discretionary,Resorts & Casinos
CMPR,Cimpress plc,$1.64 B,Communication Services,Advertising Agencies
LPSN,"LivePerson, Inc.",$1.63 B,Technology,Software—Application
BCEI,"Bonanza Creek Energy, Inc.",$1.63 B,Energy,Oil & Gas E&P
HNI,HNI Corporation,$1.63 B,Industrials,Business Equipment & Supplies
KDMN,"Kadmon Holdings, Inc.",$1.63 B,Healthcare,Biotechnology
NWN,Northwest Natural Holding Company,$1.62 B,Utilities,Utilities—Regulated Gas
AMK,"AssetMark Financial Holdings, Inc.",$1.62 B,Financials,Asset Management
GNL,"Global Net Lease, Inc.",$1.61 B,Real Estate,REIT—Office
USNA,"USANA Health Sciences, Inc.",$1.61 B,Consumer Staples,Household & Personal Products
MODV,ModivCare Inc.,$1.60 B,Healthcare,Medical Care Facilities
WABC,Westamerica Bancorporation,$1.60 B,Financials,Banks
KFRC,Kforce Inc.,$1.59 B,Industrials,Staffing & Employment Services
TTMI,"TTM Technologies, Inc.",$1.59 B,Technology,Electronic Components
MCRI,"Monarch Casino & Resort, Inc.",$1.59 B,Consumer Discretionary,Resorts & Casinos
FRTA,"Forterra, Inc.",$1.59 B,Industrials,Building Products & Equipment
PACK,Ranpak Holdings Corp.,$1.59 B,Consumer Discretionary,Packaging & Containers
CYRX,"Cryoport, Inc.",$1.59 B,Industrials,Integrated Freight & Logistics
AVID,"Avid Technology, Inc.",$1.58 B,Communication Services,Electronic Gaming & Multimedia
WDR,"Waddell & Reed Financial, Inc.",$1.58 B,Financials,Asset Management
HOME,At Home Group Inc.,$1.58 B,Consumer Discretionary,Specialty Retail
AVNS,"Avanos Medical, Inc.",$1.57 B,Healthcare,Medical Devices
PRTA,Prothena Corporation plc,$1.57 B,Healthcare,Biotechnology
CNST,"Constellation Pharmaceuticals, Inc.",$1.57 B,Healthcare,Biotechnology
MYRG,MYR Group Inc.,$1.57 B,Industrials,Engineering & Construction
NBTB,NBT Bancorp Inc.,$1.57 B,Financials,Banks
HEES,"H&E Equipment Services, Inc.",$1.56 B,Industrials,Rental & Leasing Services
OXM,"Oxford Industries, Inc.",$1.56 B,Consumer Discretionary,Apparel Manufacturing
TVTY,"Tivity Health, Inc.",$1.56 B,Healthcare,Medical Care Facilities
GPRE,Green Plains Inc.,$1.55 B,Basic Materials,Specialty Chemicals
OII,"Oceaneering International, Inc.",$1.55 B,Energy,Oil & Gas Equipment & Services
VRTU,Virtusa Corporation,$1.55 B,Technology,Information Technology Services
MDGL,"Madrigal Pharmaceuticals, Inc.",$1.55 B,Healthcare,Biotechnology
ONEM,"1Life Healthcare, Inc.",$1.54 B,Healthcare,Health Information Services
LADR,Ladder Capital Corp,$1.54 B,Real Estate,REIT—Mortgage
LTC,"LTC Properties, Inc.",$1.54 B,Real Estate,REIT—Healthcare Facilities
OSIS,"OSI Systems, Inc.",$1.54 B,Technology,Electronic Components
CYH,"Community Health Systems, Inc.",$1.54 B,Healthcare,Medical Care Facilities
NVTA,Invitae Corporation,$1.53 B,Healthcare,Diagnostics & Research
